Season,Head_Coach,Coordinator,role,team,Win,Loss,Tie
1966,Allie Sherman,Alex Webster,aOC,NYG,1,12,1
1966,Allie Sherman,Harland Svare,DC,NYG,1,12,1
1966,Allie Sherman,Jack Patera,aDC,NYG,1,12,1
1966,Bill Austin,Harland Svare,DC,PIT,5,8,1
1966,Bill Austin,Mike McCormack,aDC,PIT,5,8,1
1966,Blanton Collier,Nick Skorich,OC,CLE,9,5,0
1966,Charley Winner,Buddy Ryan,aDC,ARI,8,5,1
1966,Charley Winner,Leeman Bennett,aOC,ARI,8,5,1
1966,Charley Winner,Red Miller,aOC,ARI,8,5,1
1966,Charley Winner,Rick Forzano,aOC,ARI,8,5,1
1966,Charley Winner,Sam Rutigliano,aDC,ARI,8,5,1
1966,Don Shula,Bill Arnsparger,DC,IND,9,5,0
1966,Don Shula,Chuck Noll,aDC,IND,9,5,0
1966,Don Shula,Dan Henning,aOC,IND,9,5,0
1966,Don Shula,David Shula,aOC,IND,9,5,0
1966,Don Shula,Don McCafferty,aOC,IND,9,5,0
1966,Don Shula,Howard Schnellenberger,OC,IND,9,5,0
1966,Don Shula,John Sandusky,aOC,IND,9,5,0
1966,Don Shula,Monte Clark,aOC,IND,9,5,0
1966,George Allen,Dick Vermeil,aSTC,LA,8,6,0
1966,George Allen,Howard Schnellenberger,aOC,LA,8,6,0
1966,George Allen,Jack Patera,aDC,LA,8,6,0
1966,George Allen,Joe Walton,aOC,LA,8,6,0
1966,George Allen,Marion Campbell,aDC,LA,8,6,0
1966,George Allen,Marv Levy,aSTC,LA,8,6,0
1966,George Allen,Mike McCormack,aOC,LA,8,6,0
1966,George Allen,Pete McCulley,aOC,LA,8,6,0
1966,George Allen,Ted Marchibroda,OC,LA,8,6,0
1966,George Halas,Abe Gibron,aOC,CHI,5,7,2
1966,George Halas,Jim Dooley,DC,CHI,5,7,2
1966,George Wilson,Ernie Hefferle,aOC,MIA,3,11,0
1966,Hank Stram,Rich Kotite,aOC,KC,11,2,1
1966,Hank Stram,Sam Rutigliano,aOC,KC,11,2,1
1966,Harry Gilmer,Joe Schmidt,aDC,DET,4,9,1
1966,Harry Gilmer,John North,aOC,DET,4,9,1
1966,Jack Christiansen,Bill Johnson,aOC,SF,6,6,2
1966,Joe Collier,Jerry Smith,aOC,BUF,9,4,1
1966,Joe Collier,John Mazur,aOC,BUF,9,4,1
1966,Joe Kuharich,Fred Bruney,aDC,PHI,9,5,0
1966,John Rauch,Bill Walsh,aOC,LV,8,5,1
1966,John Rauch,John Madden,aDC,LV,8,5,1
1966,Norb Hecker,Tom Fears,OC,ATL,3,11,0
1966,Norm Van Brocklin,Fred Bruney,aDC,MIN,4,9,1
1966,Norm Van Brocklin,Marion Campbell,DC,MIN,4,9,1
1966,Otto Graham,Ed Hughes,aDC,WAS,7,7,0
1966,Otto Graham,Mike McCormack,aDC,WAS,7,7,0
1966,Ray Malavasi,Bud Carson,DC,DEN,4,8,0
1966,Sid Gillman,Bum Phillips,DC,LAC,7,6,1
1966,Sid Gillman,Charlie Waller,aOC,LAC,7,6,1
1966,Sid Gillman,Ed Biles,aDC,LAC,7,6,1
1966,Sid Gillman,Richie Petitbon,aDC,LAC,7,6,1
1966,Tom Landry,Dan Reeves,OC,DAL,10,3,1
1966,Tom Landry,Dick Nolan,DC,DAL,10,3,1
1966,Tom Landry,Gene Stallings,aDC,DAL,10,3,1
